a,b ,c,d,e
Beluga Gold Line 1,5l 40% GB,7,5,46,1
Russian Standard Original 1l 40%,12,12,34,1
Diplomatico Reserva Exclusiva 12y 0,7l 40%,9,9,22,1
Plantation 20th Anniversary XO 0,7l 40% GB,11,11,28,1
Don Papa 7y 0,7l 40%,10,10,23,1
Capitan Bucanero Elixir Dominicano 7y 0,7l 34%,8,8,32,1
Bumbu Rum 15y 0,7l 40%,7,9,24,1
Legendario Elixir De Cuba 7y 0,7l 34%,8,8,32,1
Jack Daniel's 5x0,05l GB,25,5,15,1
Proper No. Twelve 0.7l 40%,9,9,31,1
Jack Daniel's Junkebox 0,7l 40% GB,17,11,30,1
Jack Daniel's Legacy Edition 3 0,7l 43% GB L.E.,9,8,26,1
Jack Daniel's Cola 0,33l 5%,7,7,12,1
Jack Daniel's Honey 0.7l 35%,8,8,25,1
Aukce Don Papa Sherry Casks 5y 0,7l 45% L.E.,11,11,24,1
Ibalgin Gin 0,7l 40%,9,7,24,1
Hendrick's Gin Lunar 0,7l 43,3% L.E.,10,10,20,1
Bombay Sapphire Gin Traditional 1l 40%,9,9,27,1
Malfy Gin Original 0,7l 41%,9,9,24,1
Mom Gin Rocks 0,7l 37,5%,10,10,23,1
Beluga Celebration 1l 40%,9,9,36,1
Finlandia vodka 1l 40%,9,9,33,1
Stolichnaya vodka 0,7l 40%,8,8,33,1
Beluga 0,7l 40%,8,8,35,1
Russian Standard Gold vodka 1l 40%,10,10,33,1
Finlandia vodka 0,7l 40%,8,8,32,1
Tatratea Mini Set Mix (22-32-42-52-62-72) 6x0,04l,25,4,12,1
Underberg 0.02l 44%,3,3,11,1
Jack Daniel's Honey 0.7l 35% + 2x sklo GB,20,10,27,1
Corona Extra Pivo 11,3º 0,355l 45%,7,7,25,1
Bernard 11º 5l 4,5% Soudek,18,18,25,1
Hoegaarden Wheat Beer 0,33l 4,9%,7,7,22,1
Paulaner Weissbier 12º 0,33l 5,5%,6,6,21,1
Jack Daniel's Fire 0,7l 35%,9,9,28,1
Jack Daniel's Apple 0,7l 35%,9,9,28,1
Havana Club Anejo 34 1l 37.5%,13,14,49,1
East Imperial Grapefruit Tonic 0,15l,5,5,20,1
East Imperial Yuzu Tonic 0,15l,5,5,20,1
East Imperial Thai Ginger Ale Tonic 0,15l,5,5,20,1
